# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2023-05-22
#
# GRDC-No.:              1160320
# River:                 DORINGRIVIER
# Station:               ELANDS DRIFT - ASPOORT (27712202)
# Country:               --
# Latitude (DD):       -32.502778
# Longitude (DD):      19.535
# Catchment area (km²):      
# Altitude (m ASL):        389.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: South Africa - Department of Water and Sanitation (DWA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1923 - 2022
# No. of years:          100
# Last update:           2022-10-17
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 1191
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1923-03-01;--:--;   -999.000;   -999.000;  61
1923-04-01;--:--;      0.533;      0.531; 100
1923-05-01;--:--;      7.021;      6.925; 100
1923-06-01;--:--;     41.253;     40.812; 100
1923-07-01;--:--;     16.537;     16.437; 100
1923-08-01;--:--;     16.226;     15.939; 100
1923-09-01;--:--;      9.964;      9.919; 100
1923-10-01;--:--;      4.505;      4.485; 100
1923-11-01;--:--;      1.263;      1.259; 100
1923-12-01;--:--;      0.495;      0.493; 100
1924-01-01;--:--;      0.839;      0.718; 100
1924-02-01;--:--;      0.150;      0.150; 100
1924-03-01;--:--;      0.219;      0.219; 100
1924-04-01;--:--;      0.312;      0.312; 100
1924-05-01;--:--;      0.533;      0.533; 100
1924-06-01;--:--;     13.396;     12.734; 100
1924-07-01;--:--;      5.889;      5.859; 100
1924-08-01;--:--;     22.242;     21.494; 100
1924-09-01;--:--;     23.021;     22.536; 100
1924-10-01;--:--;      3.688;      3.682; 100
1924-11-01;--:--;      5.079;      4.991; 100
1924-12-01;--:--;      0.822;      0.822; 100
1925-01-01;--:--;      0.168;      0.168; 100
1925-02-01;--:--;      0.207;      0.201; 100
1925-03-01;--:--;      0.191;      0.190; 100
1925-04-01;--:--;      0.249;      0.249; 100
1925-05-01;--:--;      0.553;      0.548; 100
