# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2023-05-22
#
# GRDC-No.:              1234150
# River:                 RIVER NIGER
# Station:               NIAMEY
# Country:               --
# Latitude (DD):       13.52
# Longitude (DD):      2.09
# Catchment area (km²):      
# Altitude (m ASL):        174.85
# Next downstream station:      -
# Remarks:               
# Owner of original data: Niger - Direction Générale des Ressources en Eau, Ministère de l'Hydraulique et de l'Assainissement
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1929 - 2022
# No. of years:          94
# Last update:           2023-04-18
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 1128
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1929-01-01;--:--;   1747.000;   -999.000;  58
1929-02-01;--:--;   1955.000;   1956.235;  75
1929-03-01;--:--;   1921.000;   -999.000;  58
1929-04-01;--:--;   1637.000;   1628.550;  93
1929-05-01;--:--;    877.000;    879.659; 100
1929-06-01;--:--;    302.000;    303.524; 100
1929-07-01;--:--;    263.000;    264.021; 100
1929-08-01;--:--;    873.000;   -999.000;  45
1929-09-01;--:--;   1221.000;   -999.000;  63
1929-10-01;--:--;   1395.000;   1399.740;  81
1929-11-01;--:--;   1538.000;   1550.909;  83
1929-12-01;--:--;   1672.000;   1686.729;  65
1930-01-01;--:--;   -999.000;   1830.725;  77
1930-02-01;--:--;   -999.000;   -999.000;  57
1930-03-01;--:--;   -999.000;   1913.655;  84
1930-04-01;--:--;   -999.000;   1558.595; 100
1930-05-01;--:--;   -999.000;    818.951; 100
1930-06-01;--:--;   -999.000;   -999.000;  47
1930-07-01;--:--;   -999.000;   -999.000;  35
1930-08-01;--:--;   -999.000;    788.387; 100
1930-09-01;--:--;   -999.000;   1232.674;  93
1930-10-01;--:--;   -999.000;   1370.299;  90
1930-11-01;--:--;   -999.000;   1526.305; 100
1930-12-01;--:--;   -999.000;   1685.662; 100
1931-01-01;--:--;   -999.000;   1846.426;  81
1931-02-01;--:--;   -999.000;   1913.017;  82
1931-03-01;--:--;   -999.000;   -999.000;   0
1931-04-01;--:--;   -999.000;   1264.603;  80
1931-05-01;--:--;   -999.000;    547.353; 100
1931-06-01;--:--;   -999.000;    235.020;  97
1931-07-01;--:--;   -999.000;    316.542; 100
1931-08-01;--:--;   -999.000;    681.537; 100
1931-09-01;--:--;   -999.000;   1085.677; 100
1931-10-01;--:--;   -999.000;   1329.613;  97
1931-11-01;--:--;   -999.000;   1517.437; 100
1931-12-01;--:--;   -999.000;   1656.405;  68
1932-01-01;--:--;   -999.000;   1725.037;  94
1932-02-01;--:--;   -999.000;   1736.966;  72
1932-03-01;--:--;   -999.000;   1522.109;  97
1932-04-01;--:--;   -999.000;    803.016; 100
1932-05-01;--:--;   -999.000;    286.389; 100
1932-06-01;--:--;   -999.000;   -999.000;   0
1932-07-01;--:--;   -999.000;   -999.000;   0
1932-08-01;--:--;   -999.000;   -999.000;   0
1932-09-01;--:--;   -999.000;   -999.000;   0
1932-10-01;--:--;   -999.000;   -999.000;   0
1932-11-01;--:--;   -999.000;   -999.000;   0
1932-12-01;--:--;   -999.000;   -999.000;   0
1933-01-01;--:--;   -999.000;   -999.000;   0
1933-02-01;--:--;   -999.000;   -999.000;   0
1933-03-01;--:--;   -999.000;   -999.000;   0
1933-04-01;--:--;   -999.000;   -999.000;   0
1933-05-01;--:--;   -999.000;   -999.000;   0
1933-06-01;--:--;   -999.000;   -999.000;   0
1933-07-01;--:--;   -999.000;   -999.000;   0
1933-08-01;--:--;   -999.000;   -999.000;   0
1933-09-01;--:--;   -999.000;   -999.000;   0
1933-10-01;--:--;   -999.000;   -999.000;   0
1933-11-01;--:--;   -999.000;   -999.000;   0
1933-12-01;--:--;   -999.000;   -999.000;   0
1934-01-01;--:--;   1756.000;   -999.000;  61
1934-02-01;--:--;   1792.000;   1799.691;  79
1934-03-01;--:--;   1606.000;   1614.585; 100
1934-04-01;--:--;   1048.000;   1051.137; 100
1934-05-01;--:--;    390.000;    391.802; 100
1934-06-01;--:--;    121.000;    121.476; 100
1934-07-01;--:--;     87.000;     88.173; 100
1934-08-01;--:--;    225.000;    255.810; 100
